Years,State,CO2_Emissions
1990,Alabama,111.0921221111718
1991,Alabama,115.4669917264782
1992,Alabama,122.7261070491528
1993,Alabama,127.038855119523
1994,Alabama,125.120630838371
1995,Alabama,132.9587230466109
1996,Alabama,139.0358754856447
1997,Alabama,135.5267197088073
1998,Alabama,135.5477821744231
1999,Alabama,138.1566190306315
2000,Alabama,143.9280377989311
2001,Alabama,135.4353895036214
2002,Alabama,140.4308927086832
2003,Alabama,141.2242596720824
2004,Alabama,144.00474475404
2005,Alabama,145.7173863257786
2006,Alabama,148.0401033687618
2007,Alabama,149.5749459702548
2008,Alabama,141.8033585189151
2009,Alabama,121.9489164746089
2010,Alabama,134.614539387333
2011,Alabama,131.6466886228409
2012,Alabama,125.1123941590079
2013,Alabama,122.5127295029225
2014,Alabama,124.7516781708409
2015,Alabama,121.6823526955748
2016,Alabama,115.7217627751225
1990,Alaska,35.05409987935034
1991,Alaska,35.68520023449869
1992,Alaska,37.29811021059636
1993,Alaska,36.96978851560878
1994,Alaska,36.82547313866448
1995,Alaska,41.50380569995172
1996,Alaska,42.450252228929
1997,Alaska,42.39331969167684
1998,Alaska,43.75411783285826
1999,Alaska,44.37700816657526
2000,Alaska,44.92110785760583
2001,Alaska,44.09095480468608
2002,Alaska,44.26656253058596
2003,Alaska,44.31680478469035
2004,Alaska,47.63101960800714
2005,Alaska,49.01759303653993
2006,Alaska,46.644660002987
2007,Alaska,44.87069526026799
2008,Alaska,40.25326054956556
2009,Alaska,38.58861965071063
2010,Alaska,39.46557615611464
2011,Alaska,39.30646480455175
2012,Alaska,38.82916452798958
2013,Alaska,36.65924741284768
2014,Alaska,35.79549643329857
2015,Alaska,36.69673088109267
2016,Alaska,35.10159324097856
1990,Arizona,63.49148573396545
1991,Arizona,64.39863078629395
1992,Arizona,67.53247701575515
1993,Arizona,69.64983223204412
1994,Arizona,72.4751335065646
1995,Arizona,67.37278072550122
1996,Arizona,69.17706547338364
1997,Arizona,72.13827541428981
1998,Arizona,77.57569055411801
1999,Arizona,81.56061752852142
2000,Arizona,87.0894084373308
2001,Arizona,89.62173669012111
2002,Arizona,88.98917498907318
2003,Arizona,90.81161865512875
2004,Arizona,98.20282457636209
2005,Arizona,98.28973648926593
2006,Arizona,101.4688346997448
2007,Arizona,103.3570568505202
2008,Arizona,103.8413652641888
2009,Arizona,94.83657925271547
2010,Arizona,96.63758051074944
2011,Arizona,94.61717478357073
2012,Arizona,92.78088001438736
2013,Arizona,96.45060207343363
2014,Arizona,94.37126599947494
2015,Arizona,92.11136091420201
2016,Arizona,87.48484475006809
1990,Arkansas,51.47717081716358
1991,Arkansas,50.38023077237165
1992,Arkansas,52.23294615512058
1993,Arkansas,51.17110520789575
1994,Arkansas,55.15383498906733
1995,Arkansas,58.56411200256894
1996,Arkansas,61.17591965002267
1997,Arkansas,59.98153030438223
1998,Arkansas,61.74357954211215
1999,Arkansas,64.05157885106088
2000,Arkansas,64.35520775706314
2001,Arkansas,63.62864592891626
2002,Arkansas,62.15596833404764
2003,Arkansas,62.81849583527122
2004,Arkansas,63.37533597386831
2005,Arkansas,61.08076091241911
2006,Arkansas,62.91800258217435
2007,Arkansas,64.21332007209053
2008,Arkansas,65.1419089276263
2009,Arkansas,62.41965309767448
2010,Arkansas,66.72373135448899
2011,Arkansas,68.14575529263352
2012,Arkansas,67.03620586615614
2013,Arkansas,69.3431682687834
2014,Arkansas,69.8925548268733
2015,Arkansas,60.01148082146086
2016,Arkansas,62.7543161719136
1990,California,362.9647254078906
1991,California,350.4408931044595
1992,California,356.3705249621282
1993,California,344.135972866051
1994,California,360.6999342863385
1995,California,349.382008768211
1996,California,347.889790184748
1997,California,349.5215291380705
1998,California,362.2993317804092
1999,California,366.3136751354376
2000,California,381.6938607229125
2001,California,386.8482341167064
2002,California,385.3615256647502
2003,California,373.8457219170353
2004,California,393.1861812321351
2005,California,390.1335666835465
2006,California,398.3024098792058
2007,California,403.1277660182388
2008,California,387.4281380690841
2009,California,373.8008826201761
2010,California,367.8176525891975
2011,California,353.2249045677416
2012,California,358.6040285364085
2013,California,360.7167229025663
2014,California,357.4990774816918
2015,California,365.4099074068185
2016,California,363.3429658686151
1990,Colorado,65.76162774330172
1991,Colorado,67.48868022159542
1992,Colorado,68.75360314235543
1993,Colorado,72.28711334534259
1994,Colorado,72.78108226493094
1995,Colorado,72.8983725582674
1996,Colorado,75.82014488370616
1997,Colorado,75.82378593891079
1998,Colorado,78.63059833889118
1999,Colorado,80.5863867902009
2000,Colorado,85.48909574982015
2001,Colorado,93.83048864250016
2002,Colorado,91.95456149496361
2003,Colorado,91.26251019133056
2004,Colorado,94.53527026856297
2005,Colorado,96.79559684416809
2006,Colorado,97.70027127382069
2007,Colorado,100.2541001393224
2008,Colorado,98.38813748378593
2009,Colorado,94.15203442663528
2010,Colorado,96.61173344421634
2011,Colorado,92.83931689546155
2012,Colorado,91.90557920387047
2013,Colorado,92.35203488371373
2014,Colorado,92.91106792306537
2015,Colorado,91.58099110400653
2016,Colorado,89.52953154915929
1990,Connecticut,41.28112478093171
1991,Connecticut,40.44764254997875
1992,Connecticut,40.93336404886092
1993,Connecticut,38.75586399599118
1994,Connecticut,38.05665139974909
1995,Connecticut,37.34572473785622
1996,Connecticut,40.18291100740002
1997,Connecticut,43.11406659846853
1998,Connecticut,40.99284603354497
1999,Connecticut,42.27228038593172
2000,Connecticut,43.47410520849312
2001,Connecticut,42.28271780141024
2002,Connecticut,40.64132735676291
2003,Connecticut,43.33185019528177
2004,Connecticut,45.3370528307966
2005,Connecticut,44.80600854955236
2006,Connecticut,41.66209172801268
2007,Connecticut,40.83531662438183
2008,Connecticut,38.25359051334197
2009,Connecticut,36.48433115267528
2010,Connecticut,36.77089860574182
2011,Connecticut,35.34153643023485
2012,Connecticut,34.66599501449239
2013,Connecticut,35.35821656843754
2014,Connecticut,35.60626767531578
2015,Connecticut,36.96912631989228
2016,Connecticut,34.49012973207062
1990,Delaware,16.62225312476152
1991,Delaware,17.43656903931528
1992,Delaware,16.36330528380258
1993,Delaware,17.76096420922773
1994,Delaware,17.11976313590426
1995,Delaware,16.32101577664515
1996,Delaware,16.93956060555264
1997,Delaware,15.48132336092205
1998,Delaware,15.1538781077583
1999,Delaware,15.35749699084603
2000,Delaware,16.15203332596784
2001,Delaware,15.69833668510467
2002,Delaware,15.45373042623938
2003,Delaware,15.99706077286372
2004,Delaware,16.26048202827004
2005,Delaware,17.05696471786343
2006,Delaware,15.97115841824172
2007,Delaware,16.78320841030668
2008,Delaware,15.86211626120121
2009,Delaware,12.16596467551471
2010,Delaware,11.42923585138307
2011,Delaware,12.41162325644845
2012,Delaware,13.58543799529511
2013,Delaware,13.28400126901449
2014,Delaware,12.91021354917304
2015,Delaware,13.01211867943031
2016,Delaware,13.38280229884612
1990,District of Columbia,4.496175749547779
1991,District of Columbia,4.437397225813168
1992,District of Columbia,4.428866103821132
1993,District of Columbia,4.592787969562676
1994,District of Columbia,4.560770907130189
1995,District of Columbia,4.473464399976284
1996,District of Columbia,4.424332851880196
1997,District of Columbia,4.287390708128767
1998,District of Columbia,4.129655892222983
1999,District of Columbia,4.212269353189593
2000,District of Columbia,4.344778908589405
2001,District of Columbia,4.133383822440123
2002,District of Columbia,4.230759515235859
2003,District of Columbia,3.974929689580331
2004,District of Columbia,4.066588402417619
2005,District of Columbia,3.984123562328281
2006,District of Columbia,3.229447574786244
2007,District of Columbia,3.425608373900929
2008,District of Columbia,3.130069864537661
2009,District of Columbia,3.223235732937458
2010,District of Columbia,3.256371657111178
2011,District of Columbia,3.12170924628324
2012,District of Columbia,2.689762321947721
2013,District of Columbia,2.864564717306906
2014,District of Columbia,3.058482653904067
2015,District of Columbia,3.02426702555906
2016,District of Columbia,2.779124348337581
1990,Florida,190.5395937035507
1991,Florida,191.7234358918321
1992,Florida,194.9617225463525
1993,Florida,197.5368262093571
1994,Florida,205.1727550119052
1995,Florida,210.4650397070774
1996,Florida,216.0569186921023
1997,Florida,220.6890046362364
1998,Florida,235.1738697783052
1999,Florida,234.8308633300178
2000,Florida,242.6058165022282
2001,Florida,241.8038916109948
2002,Florida,245.1785576829363
2003,Florida,249.2230806892171
2004,Florida,261.5331268714276
2005,Florida,264.9963792355122
2006,Florida,263.1572961215128
2007,Florida,260.5782499835307
2008,Florida,242.2718870028495
2009,Florida,227.7251488775989
2010,Florida,245.6703814873029
2011,Florida,232.2479834535017
2012,Florida,226.3427221285408
2013,Florida,224.9667602997971
2014,Florida,230.652129903842
2015,Florida,235.161864402781
2016,Florida,231.3292935017985
1990,Georgia,140.6165059645508
1991,Georgia,132.6222959498596
1992,Georgia,132.6247453767658
1993,Georgia,141.6719187985922
1994,Georgia,144.7005912725653
1995,Georgia,153.1268639200041
1996,Georgia,157.3945640413816
1997,Georgia,157.9587475876258
1998,Georgia,159.9933414509273
1999,Georgia,162.7237200602769
2000,Georgia,170.6247844987109
2001,Georgia,163.0578800773971
2002,Georgia,167.9301316575152
2003,Georgia,170.9065170208084
2004,Georgia,176.7345709477189
2005,Georgia,187.4100935349069
2006,Georgia,184.6422551931162
2007,Georgia,187.1417155664154
2008,Georgia,174.5386648637273
2009,Georgia,164.5726724903003
2010,Georgia,173.9598768709656
2011,Georgia,158.3758388755609
2012,Georgia,138.2821899163016
2013,Georgia,136.3572968766791
2014,Georgia,141.3997015112668
2015,Georgia,138.7702353430403
2016,Georgia,136.9917465214979
1990,Hawaii,21.80505526578727
1991,Hawaii,19.77741860260229
1992,Hawaii,20.91173499281357
1993,Hawaii,19.06019697103414
1994,Hawaii,20.47228459706755
1995,Hawaii,20.41307312425268
1996,Hawaii,19.37989441315109
1997,Hawaii,18.7688357688997
1998,Hawaii,18.94486591579775
1999,Hawaii,18.65281460021856
2000,Hawaii,18.86904881304391
2001,Hawaii,19.3848368585523
2002,Hawaii,20.66521453917042
2003,Hawaii,21.61666445862722
2004,Hawaii,22.68757110176819
2005,Hawaii,23.30253249705168
2006,Hawaii,23.5450962068018
2007,Hawaii,24.34460376117488
2008,Hawaii,19.56152546175959
2009,Hawaii,19.14462318587189
2010,Hawaii,19.25908177848065
2011,Hawaii,19.69475434079392
2012,Hawaii,19.17928108843557
2013,Hawaii,18.66043967880441
2014,Hawaii,18.59896623325539
2015,Hawaii,18.75922414827575
2016,Hawaii,18.54598680581696
1990,Idaho,11.48446710223098
1991,Idaho,12.18931777624016
1992,Idaho,11.5202836090582
1993,Idaho,12.60408995455955
1994,Idaho,12.75715007059392
1995,Idaho,13.56322442469679
1996,Idaho,14.19958842394334
1997,Idaho,13.95182916986503
1998,Idaho,14.29193895192057
1999,Idaho,15.19014697342435
2000,Idaho,15.87733244134912
2001,Idaho,15.82215719915703
2002,Idaho,15.24578353674009
2003,Idaho,14.61745329095438
2004,Idaho,15.90868869985048
2005,Idaho,16.06803962683695
2006,Idaho,16.08433251567221
2007,Idaho,16.58538361628728
2008,Idaho,15.8098842836389
2009,Idaho,15.42268216791668
2010,Idaho,16.21717712739652
2011,Idaho,16.01898224432254
2012,Idaho,15.92175480935346
2013,Idaho,17.3917547829255
2014,Idaho,16.90093667232123
2015,Idaho,18.18610142598655
2016,Idaho,18.48308673640722
1990,Illinois,192.975268395085
1991,Illinois,193.0068065759823
1992,Illinois,189.283693179969
1993,Illinois,205.3022781125392
1994,Illinois,205.7221190455861
1995,Illinois,209.9781477336325
1996,Illinois,223.9551429627532
1997,Illinois,226.7740771009557
1998,Illinois,218.0682088402263
1999,Illinois,227.6690983878314
2000,Illinois,234.3797362742579
2001,Illinois,225.96506252155
2002,Illinois,228.4421204087685
2003,Illinois,231.7532517926686
2004,Illinois,239.8057646919268
2005,Illinois,246.0321942163233
2006,Illinois,237.5198846605712
2007,Illinois,245.0962452826267
2008,Illinois,243.7451767439609
2009,Illinois,228.2756422375624
2010,Illinois,233.1297035126439
2011,Illinois,231.8141193679312
2012,Illinois,219.3751446092157
2013,Illinois,232.5705641294141
2014,Illinois,235.4120724639861
2015,Illinois,217.7869035829251
2016,Illinois,205.1901716716311
1990,Indiana,206.5716742418299
1991,Indiana,203.0828808578911
1992,Indiana,200.2632365110879
1993,Indiana,204.6269609909605
1994,Indiana,204.360897484508
1995,Indiana,209.7620555160443
1996,Indiana,214.2720859725627
1997,Indiana,217.9210536794579
1998,Indiana,219.9276012712185
1999,Indiana,225.8966685752241
2000,Indiana,239.0738716051172
2001,Indiana,228.9985184285633
2002,Indiana,232.4442424065764
2003,Indiana,238.2772288145588
2004,Indiana,238.3888025749665
2005,Indiana,237.3886990288192
2006,Indiana,234.9272903054219
2007,Indiana,234.5563290032788
2008,Indiana,230.3032331121262
2009,Indiana,207.0273399487723
2010,Indiana,219.2957217724534
2011,Indiana,211.774172285061
2012,Indiana,197.3557924364763
2013,Indiana,202.5910309668508
2014,Indiana,207.9457139722577
2015,Indiana,188.4001893036698
2016,Indiana,182.8540518494084
1990,Iowa,60.77131909995665
1991,Iowa,62.8069798580923
1992,Iowa,61.34466982169715
1993,Iowa,65.40656800411831
1994,Iowa,66.52935612132413
1995,Iowa,70.1441177702005
1996,Iowa,72.10590255188578
1997,Iowa,71.40876631214967
1998,Iowa,75.63727780761232
1999,Iowa,77.63550329173054
2000,Iowa,78.67722622211069
2001,Iowa,77.60789072069662
2002,Iowa,78.26593779718117
2003,Iowa,77.7453006584048
2004,Iowa,80.31515457409614
2005,Iowa,79.96547975844271
2006,Iowa,81.21459514722032
2007,Iowa,86.47383255758696
2008,Iowa,90.43695069487896
2009,Iowa,85.270883996334
2010,Iowa,89.60533637336057
2011,Iowa,86.6108610302282
2012,Iowa,80.61646339504209
2013,Iowa,82.02422182133712
2014,Iowa,82.85968814074053
2015,Iowa,76.82130930498931
2016,Iowa,73.53494056051845
1990,Kansas,69.9330567775834
1991,Kansas,68.494798966287
1992,Kansas,66.45480905110756
1993,Kansas,71.70916116509474
1994,Kansas,72.10207494924114
1995,Kansas,69.5260193041303
1996,Kansas,75.13671013111481
1997,Kansas,71.97632816277901
1998,Kansas,71.40638082578067
1999,Kansas,75.0890652326043
2000,Kansas,76.64047645741833
2001,Kansas,72.43445724727125
2002,Kansas,77.50021483370752
2003,Kansas,79.3290590506636
2004,Kansas,76.56828441052161
2005,Kansas,72.77421099554724
2006,Kansas,72.97261444452714
2007,Kansas,80.81165277246231
2008,Kansas,75.39051486874808
2009,Kansas,73.55984177144552
2010,Kansas,73.2058163198932
2011,Kansas,71.32553307942634
2012,Kansas,66.63949514945786
2013,Kansas,70.29179920321155
2014,Kansas,70.49105475817697
2015,Kansas,64.74630317102871
2016,Kansas,62.4042828159272
1990,Kentucky,118.7966462261972
1991,Kentucky,118.9805087664594
1992,Kentucky,122.40241224626
1993,Kentucky,133.3513327474516
1994,Kentucky,131.3678634584791
1995,Kentucky,136.9362586113255
1996,Kentucky,138.1513598091947
1997,Kentucky,142.3514147754746
1998,Kentucky,140.4278211852881
1999,Kentucky,144.6857190471836
2000,Kentucky,145.4688348479992
2001,Kentucky,147.2714151041923
2002,Kentucky,147.9937334978824
2003,Kentucky,143.9519787608769
2004,Kentucky,149.8203760158667
2005,Kentucky,152.0686014646472
2006,Kentucky,154.352160935188
2007,Kentucky,154.7014230315983
2008,Kentucky,152.447750181093
2009,Kentucky,141.9038265674106
2010,Kentucky,151.1809946631991
2011,Kentucky,150.0008169644596
2012,Kentucky,138.7812732474232
2013,Kentucky,137.9771073905948
2014,Kentucky,139.3263992763261
2015,Kentucky,129.8350973215423
2016,Kentucky,124.602368225577
1990,Louisiana,196.5471150901384
1991,Louisiana,195.1785022514918
1992,Louisiana,202.134686931542
1993,Louisiana,204.5214942036688
1994,Louisiana,210.7193474044687
1995,Louisiana,211.0012480908628
1996,Louisiana,215.2640820286382
1997,Louisiana,222.5959537538484
1998,Louisiana,208.9668610426438
1999,Louisiana,208.1011811663655
2000,Louisiana,228.3497702418747
2001,Louisiana,201.0647137823838
2002,Louisiana,209.9118329300634
2003,Louisiana,206.4504750629586
2004,Louisiana,217.5420881516971
2005,Louisiana,208.8137612751708
2006,Louisiana,220.8907080573092
2007,Louisiana,225.6364172513913
2008,Louisiana,229.0857180482181
2009,Louisiana,212.0342862645472
2010,Louisiana,224.4922736783372
2011,Louisiana,227.1206680812506
2012,Louisiana,215.1126511399854
2013,Louisiana,206.2354831191519
2014,Louisiana,203.776138354388
2015,Louisiana,206.4750411864869
2016,Louisiana,210.2802274355012
1990,Maine,19.31318199303342
1991,Maine,18.83152697139955
1992,Maine,19.73823993264233
1993,Maine,19.16564543336652
1994,Maine,20.60881435794015
1995,Maine,19.24637381535458
1996,Maine,19.76316586886758
1997,Maine,19.94334238241068
1998,Maine,19.71267820167573
1999,Maine,20.77211825880222
2000,Maine,22.62889219454924
2001,Maine,22.78169755033819
2002,Maine,24.33974741894793
2003,Maine,23.96664543995182
2004,Maine,24.40495713598475
2005,Maine,23.5136166391514
2006,Maine,21.59316337438726
2007,Maine,21.26384107643071
2008,Maine,19.38659839054937
2009,Maine,18.68071576813159
2010,Maine,18.34549067054467
2011,Maine,17.7863270592906
2012,Maine,16.07670483994823
2013,Maine,16.82159644267081
2014,Maine,16.86281667172631
2015,Maine,17.072813641713
2016,Maine,16.55238275431237
1990,Maryland,70.46249765841658
1991,Maryland,69.25028367107632
1992,Maryland,67.22317171071849
1993,Maryland,69.50796276778568
1994,Maryland,70.56115315515197
1995,Maryland,70.03704572228533
1996,Maryland,72.13449609461306
1997,Maryland,72.33725557091007
1998,Maryland,75.37339778725111
1999,Maryland,77.93108856387562
2000,Maryland,77.69044325641357
2001,Maryland,77.56681221357651
2002,Maryland,77.55944095641291
2003,Maryland,80.36054662228177
2004,Maryland,81.17002342176099
2005,Maryland,83.36961768459449
2006,Maryland,78.36200778657143
2007,Maryland,78.6612566679771
2008,Maryland,74.91712909354645
2009,Maryland,71.56702343343908
2010,Maryland,70.08611892358925
2011,Maryland,65.28344700353195
2012,Maryland,60.78814443853494
2013,Maryland,59.93775439978707
2014,Maryland,62.18418619355862
2015,Maryland,60.23585929778362
2016,Maryland,57.87476907978528
1990,Massachusetts,84.60106653743553
1991,Massachusetts,83.3352246191405
1992,Massachusetts,85.63027162178037
1993,Massachusetts,82.38136298928167
1994,Massachusetts,82.58692235770191
1995,Massachusetts,79.79250895422558
1996,Massachusetts,80.48072418442204
1997,Massachusetts,86.4804233892587
1998,Massachusetts,84.9989912185248
1999,Massachusetts,82.59182104414194
2000,Massachusetts,83.48191427886044
2001,Massachusetts,83.47241396848436
2002,Massachusetts,84.37139788263619
2003,Massachusetts,85.66520967633075
2004,Massachusetts,84.24944462915902
2005,Massachusetts,85.86788757118042
2006,Massachusetts,77.68995765877472
2007,Massachusetts,81.04676576586272
2008,Massachusetts,77.90151448331275
2009,Massachusetts,71.35315711342892
2010,Massachusetts,72.80550647519001
2011,Massachusetts,68.94415709308483
2012,Massachusetts,62.6894152923168
2013,Massachusetts,66.4886315362659
2014,Massachusetts,64.58990363092897
2015,Massachusetts,66.46115572935757
2016,Massachusetts,64.54393785898891
1990,Michigan,181.499974764396
1991,Michigan,180.2315036579155
1992,Michigan,179.836365857118
1993,Michigan,179.5664118234226
1994,Michigan,187.4934742744933
1995,Michigan,190.0046055226723
1996,Michigan,195.424227179836
1997,Michigan,192.1493847853532
1998,Michigan,192.3381947180248
1999,Michigan,200.8116348142826
2000,Michigan,195.6537366383772
2001,Michigan,192.1809257900786
2002,Michigan,191.7803841955773
2003,Michigan,188.3812638505439
2004,Michigan,191.3541637223911
2005,Michigan,193.6217819845214
2006,Michigan,182.0506493383391
2007,Michigan,184.0356946970934
2008,Michigan,177.7673422568524
2009,Michigan,166.5279984873407
2010,Michigan,167.0459060655043
2011,Michigan,161.6585759451362
2012,Michigan,155.1329566722796
2013,Michigan,163.7361416985882
2014,Michigan,163.5670870285041
2015,Michigan,163.7535557998581
2016,Michigan,152.6020434000315
1990,Minnesota,79.34978243957926
1991,Minnesota,79.40546305832395
1992,Minnesota,81.16112115197839
1993,Minnesota,85.44665474596694
1994,Minnesota,87.10008544329267
1995,Minnesota,89.90519588230332
1996,Minnesota,94.76906577927171
1997,Minnesota,92.1471633351675
1998,Minnesota,92.72046361205113
1999,Minnesota,93.59502762171739
2000,Minnesota,98.58133785217254
2001,Minnesota,95.72592171981496
2002,Minnesota,98.36725646716359
2003,Minnesota,102.3617744148385
2004,Minnesota,101.962358455687
2005,Minnesota,103.0617437732868
2006,Minnesota,100.2618815856449
2007,Minnesota,101.8022555830787
2008,Minnesota,101.4067114910895
2009,Minnesota,93.50852582694704
2010,Minnesota,93.16733645180385
2011,Minnesota,92.80203177588315
2012,Minnesota,87.97983827572007
2013,Minnesota,90.76574786608981
2014,Minnesota,96.00409436619555
2015,Minnesota,88.89818060283439
2016,Minnesota,89.74624011957594
1990,Mississippi,49.17407084768048
1991,Mississippi,48.9583146165676
1992,Mississippi,49.17400637254575
1993,Mississippi,51.22795126739187
1994,Mississippi,51.06045220220523
1995,Mississippi,52.49096763446757
1996,Mississippi,55.39965262068109
1997,Mississippi,56.08894771166494
1998,Mississippi,57.38213400972884
1999,Mississippi,62.52328119998214
2000,Mississippi,61.93893959986418
2001,Mississippi,70.86654107223062
2002,Mississippi,63.37854819061498
2003,Mississippi,64.9570487698919
2004,Mississippi,66.6691313415005
2005,Mississippi,64.94783662545515
2006,Mississippi,66.92605357551005
2007,Mississippi,68.99718591052256
2008,Mississippi,65.5544358123545
2009,Mississippi,61.4172004130066
2010,Mississippi,66.23060540102597
2011,Mississippi,61.28812899123094
2012,Mississippi,63.30146119185668
2013,Mississippi,61.41714976359337
2014,Mississippi,64.71944608223072
2015,Mississippi,66.01461476049182
2016,Mississippi,69.29665645788661
1990,Missouri,103.2858424568802
1991,Missouri,103.5257386472179
1992,Missouri,103.2605627873182
1993,Missouri,101.5709869253273
1994,Missouri,109.1461492730363
1995,Missouri,116.5338594895417
1996,Missouri,122.7601646903342
1997,Missouri,126.200058729869
1998,Missouri,131.1865030356182
1999,Missouri,131.7561983900497
2000,Missouri,126.5257624219659
2001,Missouri,131.5120536223836
2002,Missouri,132.6308051788702
2003,Missouri,139.3863584866194
2004,Missouri,140.3749983752452
2005,Missouri,143.5132583398938
2006,Missouri,141.5293629739228
2007,Missouri,140.5145587299713
2008,Missouri,137.2855730628968
2009,Missouri,131.5352464106241
2010,Missouri,135.4261327530845
2011,Missouri,135.9731234033376
